labels,text
1,Wow this was really informative and enlightening. Thank you Jack.
1,He used the real video at times!
1,This is accurate as fuck and i love it XD
0,I would rather buy a brand new PC
1,I really want to see some kind of video of Wiseau responding to this movie xD
1,Having seen the original it's going to be so much fun. Please everyone see The Room before seeing this
1,Damn James Franco is so good!! Sounds exactly like the real guy!
1,These brothers seem like best friends wish I could be close to my brother but the sad thing is I don't have one
1,It's Harry guys he's Spiderman best friend
0,Wouldn't it be the most ironic thing ever if this movie gets James Franco an Oscar nomination?
1,the book was a true literary masterpiece. just like the movie The Room
1,Damn he's so accurate
1,After seeing the teaser I was a little concerned about James Franco's accent but not anymore! That was SPOT ON. This looks fantastic (and not just because of the accent). I cannot wait to see this!
0,This is a great fake trailer!!
1,His performance looks so much better than in the teaser.
1,You'll never be famous in a million years!\n\nBut after that? Holy shit that's such a good quote
1,Best remake ever!
1,He has it all Good look Many frends and also maybe Jonny is Vampyre
1,Can't wait for this! It seems like a modern Ed Wood.
1,I LOVE THIS MOVIE SO MUCH
0,Would be much better without all that sexual garbage.
0,I think the room would have been a better movie if Johnny was a vampire
0,Europe is laughing out loud at you americans simply because you elected a bunch of apes to run your country.
0,I hope the media stays on top of Carson's HUD any other federal agencies where woefully unqualified cronies have been installed. Their incompetence and results need to be reported so we can see what happens when people think government and experience in government doesn't matter.
0,The lunatic surrounds himself with other lunatics. America you have become so bizarre...
0,Seriously? You decide to attack the most prominent black republican representative? When we have all these other huge issues in our current government. Wow. I always knew Seth was Racist. He's just open about it now I guess.
0,How did them 6 others survive being stuck in a lift with him without him killing them with boredom lucky it wasn't just one that would be a death sentence for sure.
0,What an absolute clown.
0,What kind of loser uses a massave natural disaster to take political and personal stabs at anyone for the sake of ratings and profit?
0,A lot of sleight of hand and smoke screening going on in this video... bs.
0,It's harder to become the best nurosurgen than to become part of the public housing
0,I don't know wether to laugh or cry anymore when I see these clips...
0,how high is that guy
0,I worked at a top NYC hospital and the neurosurgeons were loons.
0,Trump eliminated the programs we needed the most. Not wise.
0,Glad I never had him for a doctor
0,"And this guy is a brain surgeon wonder how many lawsuits against him?  He's despicable!"
0,OMG this dump administration is a nightmare LMAO
0,inept is putting it mildly
0,Lets see. A white privileged white racist Hollywood comedian who's made his career focus on bashing America and its people who live not according to his lifestyle thinks he's doing the white race a solid by attack an intelligent accomplished Black Man who is one of the world best known neurosurgeon. This comedian is a racist asshole.
0,My two biggest disappointments from this event are 1 the iPhone 10 not having a full 2k display and the screen only putting out 625nits of max brightness. That's a little less than half the max brightness of the galaxy note 8. I understand it will  be better than the Note 8 in lots of other ways but I wanted it to match or be better in every conceivable way so the android fans wouldn't have anything to hold on to.
0,So...we're just going to overlook how advanced technology is becoming to describe you? LOCATION FINGER PRINTS FRONT FACING APPLE ID UNLOCK......l'll pass.
0,I'll go now....
0,This looks cool enough but i prefer the older style of iphones more so i'll probably stick to iphone 8
0,hahhaha you fool...ass hole ...there is nothing new
0,It's cool but not a 1000 bucks cool
0,Everyone just getting all their new Apple stuff while i still cant afford the actual fruit smh -_-
0,lmao gay af.
0,Titanium Teeth ! Ok that is overkill
1,So roman you are NOT going to charge anyone to see this movie you are making right
1,thanks so much for inspiring me to make my own channel
1,You should make rainbow smile more hats
0,is it just or did you hear the guy saying the dog has a high risk of injury and one dude had to get surgery.
0,Not digging the new hats 😬
1,The book from the original mummy is there.
0,i saw itnothing special.
1,Lol this guy is sick
1,You were still too nice to them.
1,I love these videos
1,The best part of the movie was the credits
1,The movie was okay
0,quality of ur videos is getting bad by each new  honest trailer
1,I liked the movie 🤷
0,But for real why is it that all the science buildings are hideous?
0,well this is so true i have cancer now
0,Don't forget paying hundreds of dollars for a parking permit and not being able to find parking 🤦🏽‍♀️
0,Zero amount of funny
0,Honest? I see no random color hairgender studies or lesbian dance theory activist or 98% white blm crowd or snowflakes running from safe space to safe space scared they might run into a FACT.   lets see the real version......
0,the first axe looks like a dick
0,Really? Did she challenge him? I don't believe it
0,Jennifer's shoes though :))))
0,Nice try dumb ass
0,Irrelevant celebrities begging for money for a scam charity lol
0,Beta male limp wrist liberal demoncrat cucks ANTIFA/BLM/BAMN/Black Block members supporters and sympathizers can all eat a fat dick because i give zero fucks about ya
0,If you notice when he picks up the paper that Mel gave him he puts a sticker on. And then he forces the stop by hiedi which is not hard for any decent magician
0,Lol still no aux. no fingerprint sensor. apples behind samsung once again.
0,I bet everybody wants to get that phone but are talking shit just because they can't afford it :-)
0,$1000 for entry level X?  No thanks.. the 8 Plus looks like the better buy...
0,Yeah I can’t stand that top bar it’s so goddamn terrible looking!!!!!.
0,Who knew people would stress that much over meal just order pizza
0,it's a shame he's fat.
